componente_roa,bloco_roa,rotulo,required_evidence_type,methodology_version_id
receita_vendas_servicos,receita_bruta,Receita de vendas e serviços,documento_fiscal_receita,metodologia-2024.1
deducoes_comerciais,deducoes_receita,Deduções comerciais,memoria_deducoes_receita,metodologia-2024.1
tributos_sobre_receita,tributos_receita,Tributos sobre receita,apuracao_tributos_receita,metodologia-2024.1
custos_bens_servicos,custos_operacionais,Custos de bens e serviços,memoria_custos_operacionais,metodologia-2024.1
despesas_operacionais_recorrentes,despesas_operacionais,Despesas operacionais recorrentes,documento_suporte_despesa,metodologia-2024.1
receitas_financeiras,resultado_financeiro,Receitas financeiras,extrato_ou_contrato_financeiro,metodologia-2024.1
despesas_financeiras,resultado_financeiro,Despesas financeiras,extrato_ou_contrato_financeiro,metodologia-2024.1
receitas_nao_operacionais,resultado_nao_operacional,Receitas não operacionais,documento_suporte_nao_operacional,metodologia-2024.1
despesas_nao_operacionais,resultado_nao_operacional,Despesas não operacionais,documento_suporte_nao_operacional,metodologia-2024.1
participacoes_excluidas,resultado_nao_operacional,Participações excluídas do ROA,memoria_participacoes,metodologia-2024.1
tributos_lucro_excluidos,resultado_nao_operacional,Tributos sobre o lucro excluídos do ROA,apuracao_irpj_csll,metodologia-2024.1
fornecedores_vencidos,pressoes_complementares_caixa,Fornecedores vencidos,relatorio_fornecedores_vencidos,metodologia-2024.1
parcelamentos,pressoes_complementares_caixa,Parcelamentos,contrato_parcelamento,metodologia-2024.1
contingencias,pressoes_complementares_caixa,Contingências,relatorio_contingencias,metodologia-2024.1
divida_fiscal,pressoes_complementares_caixa,Dívida fiscal,certidao_ou_extrato_fiscal,metodologia-2024.1
divida_trabalhista,pressoes_complementares_caixa,Dívida trabalhista,relatorio_divida_trabalhista,metodologia-2024.1
mutuos,pressoes_complementares_caixa,Mútuos,contrato_mutuo,metodologia-2024.1
intercompany,pressoes_complementares_caixa,Intercompany,conciliacao_intercompany,metodologia-2024.1
